Dates,3M Company (NYSE:MMM) - Share Pricing
Apr-21-2010,85.70
Apr-22-2010,86.05
Apr-23-2010,86.58
Apr-26-2010,87.44
Apr-27-2010,87.97
Apr-28-2010,88.24
Apr-29-2010,89.33
Apr-30-2010,88.67
May-03-2010,89.81
May-04-2010,87.68
May-05-2010,86.59
May-06-2010,84.24
May-07-2010,82.63
May-10-2010,85.97
May-11-2010,85.04
May-12-2010,86.44
May-13-2010,85.59
May-14-2010,84.68
May-17-2010,84.68
May-18-2010,84.02
May-19-2010,82.54
May-20-2010,79.58
May-21-2010,80.70
May-24-2010,79.59
May-25-2010,79.47
May-26-2010,79.17
May-27-2010,81.43
May-28-2010,79.31
Jun-01-2010,78.07
Jun-02-2010,78.74
Jun-03-2010,78.34
Jun-04-2010,76.10
Jun-07-2010,74.74
Jun-08-2010,74.92
Jun-09-2010,74.79
Jun-10-2010,77.43
Jun-11-2010,78.30
Jun-14-2010,78.14
Jun-15-2010,79.77
Jun-16-2010,80.88
Jun-17-2010,81.03
Jun-18-2010,81.18
Jun-21-2010,81.47
Jun-22-2010,80.03
Jun-23-2010,80.12
Jun-24-2010,78.18
Jun-25-2010,78.90
Jun-28-2010,78.98
Jun-29-2010,78.49
Jun-30-2010,78.99
Jul-01-2010,78.55
Jul-02-2010,77.67
Jul-06-2010,78.14
Jul-07-2010,80.52
Jul-08-2010,81.22
Jul-09-2010,82.16
Jul-12-2010,82.26
Jul-13-2010,83.55
Jul-14-2010,83.05
Jul-15-2010,83.06
Jul-16-2010,80.95
Jul-19-2010,81.22
Jul-20-2010,82.19
Jul-21-2010,82.30
Jul-22-2010,84.75
Jul-23-2010,86.17
Jul-26-2010,87.32
Jul-27-2010,86.80
Jul-28-2010,86.69
Jul-29-2010,86.34
Jul-30-2010,85.54
Aug-02-2010,87.41
Aug-03-2010,87.21
Aug-04-2010,88.00
Aug-05-2010,87.72
Aug-06-2010,87.29
Aug-09-2010,88.03
Aug-10-2010,87.11
Aug-11-2010,84.10
Aug-12-2010,84.01
Aug-13-2010,84.01
Aug-16-2010,83.43
Aug-17-2010,84.09
Aug-18-2010,83.61
Aug-19-2010,81.81
Aug-20-2010,80.66
Aug-23-2010,81.08
Aug-24-2010,80.45
Aug-25-2010,80.75
Aug-26-2010,79.78
Aug-27-2010,81.00
Aug-30-2010,79.65
Aug-31-2010,78.55
Sep-01-2010,81.01
Sep-02-2010,81.87
Sep-03-2010,83.48
Sep-07-2010,82.14
Sep-08-2010,82.75
Sep-09-2010,82.96
Sep-10-2010,83.94
Sep-13-2010,84.86
Sep-14-2010,84.63
Sep-15-2010,84.58
Sep-16-2010,84.95
Sep-17-2010,86.07
Sep-20-2010,87.41
Sep-21-2010,86.55
Sep-22-2010,86.63
Sep-23-2010,85.53
Sep-24-2010,86.96
Sep-27-2010,86.19
Sep-28-2010,87.04
Sep-29-2010,87.17
Sep-30-2010,86.71
Oct-01-2010,87.62
Oct-04-2010,86.70
Oct-05-2010,88.86
Oct-06-2010,89.89
Oct-07-2010,88.90
Oct-08-2010,89.16
Oct-11-2010,88.25
Oct-12-2010,88.15
Oct-13-2010,89.14
Oct-14-2010,89.07
Oct-15-2010,89.14
Oct-18-2010,89.66
Oct-19-2010,88.55
Oct-20-2010,89.47
Oct-21-2010,90.55
Oct-22-2010,90.44
Oct-25-2010,90.90
Oct-26-2010,90.47
Oct-27-2010,90.37
Oct-28-2010,85.07
Oct-29-2010,84.22
Nov-01-2010,83.98
Nov-02-2010,84.80
Nov-03-2010,85.30
Nov-04-2010,87.04
Nov-05-2010,86.34
Nov-08-2010,85.86
Nov-09-2010,85.30
Nov-10-2010,86.25
Nov-11-2010,86.50
Nov-12-2010,86.24
Nov-15-2010,86.20
Nov-16-2010,84.24
Nov-17-2010,83.95
Nov-18-2010,85.55
Nov-19-2010,85.01
Nov-22-2010,84.90
Nov-23-2010,83.59
Nov-24-2010,84.66
Nov-26-2010,84.40
Nov-29-2010,84.22
Nov-30-2010,83.98
Dec-01-2010,86.05
Dec-02-2010,86.51
Dec-03-2010,86.94
Dec-06-2010,86.88
Dec-07-2010,84.19
Dec-08-2010,84.68
Dec-09-2010,84.11
Dec-10-2010,84.32
Dec-13-2010,85.30
Dec-14-2010,85.84
Dec-15-2010,85.81
Dec-16-2010,86.40
Dec-17-2010,86.37
Dec-20-2010,87.34
Dec-21-2010,86.53
Dec-22-2010,86.72
Dec-23-2010,86.47
Dec-27-2010,87.01
Dec-28-2010,86.74
Dec-29-2010,86.76
Dec-30-2010,86.54
Dec-31-2010,86.30
Jan-03-2011,86.79
Jan-04-2011,86.67
Jan-05-2011,86.67
Jan-06-2011,86.14
Jan-07-2011,86.23
Jan-10-2011,87.15
Jan-11-2011,87.74
Jan-12-2011,88.66
Jan-13-2011,88.04
Jan-14-2011,88.10
Jan-18-2011,88.14
Jan-19-2011,87.96
Jan-20-2011,88.04
Jan-21-2011,89.29
Jan-24-2011,90.32
Jan-25-2011,88.50
Jan-26-2011,89.57
Jan-27-2011,89.19
Jan-28-2011,87.44
Jan-31-2011,87.92
Feb-01-2011,87.79
Feb-02-2011,87.75
Feb-03-2011,87.95
Feb-04-2011,88.29
Feb-07-2011,88.79
Feb-08-2011,89.47
Feb-09-2011,90.78
Feb-10-2011,90.46
Feb-11-2011,91.80
Feb-14-2011,91.90
Feb-15-2011,92.00
Feb-16-2011,92.33
Feb-17-2011,92.73
Feb-18-2011,92.96
Feb-22-2011,92.00
Feb-23-2011,90.26
Feb-24-2011,90.03
Feb-25-2011,90.25
Feb-28-2011,92.23
Mar-01-2011,90.46
Mar-02-2011,91.32
Mar-03-2011,92.81
Mar-04-2011,92.19
Mar-07-2011,92.40
Mar-08-2011,93.75
Mar-09-2011,93.17
Mar-10-2011,90.01
Mar-11-2011,91.61
Mar-14-2011,91.02
Mar-15-2011,89.50
Mar-16-2011,87.55
Mar-17-2011,88.69
Mar-18-2011,88.98
Mar-21-2011,90.95
Mar-22-2011,90.70
Mar-23-2011,92.14
Mar-24-2011,92.58
Mar-25-2011,92.27
Mar-28-2011,92.12
Mar-29-2011,92.84
Mar-30-2011,92.47
Mar-31-2011,93.50
Apr-01-2011,93.13
Apr-04-2011,93.64
Apr-05-2011,93.39
Apr-06-2011,93.82
Apr-07-2011,93.19
Apr-08-2011,93.22
Apr-11-2011,93.80
Apr-12-2011,92.37
Apr-13-2011,92.86
Apr-14-2011,92.94
Apr-15-2011,92.82
Apr-18-2011,91.45
Apr-19-2011,91.86
Apr-20-2011,93.76
Apr-21-2011,93.92
Apr-25-2011,94.12
Apr-26-2011,95.94
Apr-27-2011,96.47
Apr-28-2011,97.23
Apr-29-2011,97.21
May-02-2011,96.92
May-03-2011,96.83
May-04-2011,96.20
May-05-2011,94.92
May-06-2011,95.60
May-09-2011,95.99
May-10-2011,95.71
May-11-2011,95.52
May-12-2011,96.65
May-13-2011,96.01
May-16-2011,95.46
May-17-2011,93.86
May-18-2011,93.94
May-19-2011,94.71
May-20-2011,93.56
May-23-2011,92.49
May-24-2011,91.97
May-25-2011,92.69
May-26-2011,92.82
May-27-2011,93.47
May-31-2011,94.38
Jun-01-2011,91.44
Jun-02-2011,91.46
Jun-03-2011,90.70
Jun-06-2011,90.62
Jun-07-2011,90.85
Jun-08-2011,90.91
Jun-09-2011,91.96
Jun-10-2011,90.73
Jun-13-2011,91.30
Jun-14-2011,92.59
Jun-15-2011,91.03
Jun-16-2011,91.58
Jun-17-2011,91.78
Jun-20-2011,92.56
Jun-21-2011,93.43
Jun-22-2011,92.80
Jun-23-2011,92.34
Jun-24-2011,90.89
Jun-27-2011,92.25
Jun-28-2011,93.02
Jun-29-2011,93.11
Jun-30-2011,94.85
Jul-01-2011,96.67
Jul-05-2011,96.14
Jul-06-2011,97.24
Jul-07-2011,97.97
Jul-08-2011,97.62
Jul-11-2011,96.56
Jul-12-2011,95.88
Jul-13-2011,96.19
Jul-14-2011,94.98
Jul-15-2011,95.47
Jul-18-2011,94.60
Jul-19-2011,94.27
Jul-20-2011,94.25
Jul-21-2011,95.84
Jul-22-2011,95.38
Jul-25-2011,95.07
Jul-26-2011,89.93
Jul-27-2011,88.08
Jul-28-2011,87.57
Jul-29-2011,87.14
Aug-01-2011,86.77
Aug-02-2011,85.27
Aug-03-2011,86.18
Aug-04-2011,82.23
Aug-05-2011,82.75
Aug-08-2011,78.59
Aug-09-2011,82.69
Aug-10-2011,78.23
Aug-11-2011,81.22
Aug-12-2011,82.54
Aug-15-2011,83.31
Aug-16-2011,82.13
Aug-17-2011,80.93
Aug-18-2011,77.42
Aug-19-2011,76.87
Aug-22-2011,76.95
Aug-23-2011,79.67
Aug-24-2011,80.29
Aug-25-2011,78.19
Aug-26-2011,80.01
Aug-29-2011,82.10
Aug-30-2011,82.07
Aug-31-2011,82.98
Sep-01-2011,81.61
Sep-02-2011,79.35
Sep-06-2011,78.08
Sep-07-2011,80.57
Sep-08-2011,79.26
Sep-09-2011,76.65
Sep-12-2011,78.22
Sep-13-2011,77.81
Sep-14-2011,79.44
Sep-15-2011,80.63
Sep-16-2011,80.53
Sep-19-2011,79.21
Sep-20-2011,79.21
Sep-21-2011,76.34
Sep-22-2011,72.90
Sep-23-2011,73.99
Sep-26-2011,75.19
Sep-27-2011,76.28
Sep-28-2011,73.60
Sep-29-2011,74.53
Sep-30-2011,71.79
Oct-03-2011,70.93
Oct-04-2011,72.01
Oct-05-2011,72.53
Oct-06-2011,74.65
Oct-07-2011,73.82
Oct-10-2011,76.72
Oct-11-2011,76.42
Oct-12-2011,78.36
Oct-13-2011,77.80
Oct-14-2011,78.89
Oct-17-2011,75.88
Oct-18-2011,78.36
Oct-19-2011,77.70
Oct-20-2011,78.68
Oct-21-2011,80.48
Oct-24-2011,82.18
Oct-25-2011,77.04
Oct-26-2011,77.02
Oct-27-2011,81.41
Oct-28-2011,81.00
Oct-31-2011,79.02
Nov-01-2011,76.53
Nov-02-2011,78.06
Nov-03-2011,79.64
Nov-04-2011,79.30
Nov-07-2011,79.69
Nov-08-2011,81.83
Nov-09-2011,79.00
Nov-10-2011,80.32
Nov-11-2011,82.29
Nov-14-2011,81.87
Nov-15-2011,81.87
Nov-16-2011,81.87
Nov-17-2011,80.43
Nov-18-2011,80.54
Nov-21-2011,78.39
Nov-22-2011,77.83
Nov-23-2011,75.54
Nov-25-2011,76.13
Nov-28-2011,77.72
Nov-29-2011,77.24
Nov-30-2011,81.04
Dec-01-2011,80.30
Dec-02-2011,79.76
Dec-05-2011,80.93
Dec-06-2011,82.13
Dec-07-2011,82.39
Dec-08-2011,80.46
Dec-09-2011,82.20
Dec-12-2011,80.59
Dec-13-2011,79.41
Dec-14-2011,78.51
Dec-15-2011,78.86
Dec-16-2011,78.87
Dec-19-2011,77.82
Dec-20-2011,80.31
Dec-21-2011,80.00
Dec-22-2011,80.97
Dec-23-2011,82.20
Dec-27-2011,82.28
Dec-28-2011,81.15
Dec-29-2011,82.11
Dec-30-2011,81.73
Jan-03-2012,83.49
Jan-04-2012,84.18
Jan-05-2012,83.80
Jan-06-2012,83.37
Jan-09-2012,83.87
Jan-10-2012,84.30
Jan-11-2012,83.77
Jan-12-2012,84.28
Jan-13-2012,83.60
Jan-17-2012,84.23
Jan-18-2012,85.07
Jan-19-2012,85.80
Jan-20-2012,85.65
Jan-23-2012,85.61
Jan-24-2012,85.93
Jan-25-2012,86.48
Jan-26-2012,87.58
Jan-27-2012,87.46
Jan-30-2012,87.34
Jan-31-2012,86.71
Feb-01-2012,87.35
Feb-02-2012,87.43
Feb-03-2012,87.73
Feb-06-2012,87.56
Feb-07-2012,87.89
Feb-08-2012,87.97
Feb-09-2012,88.02
Feb-10-2012,87.14
Feb-13-2012,88.03
Feb-14-2012,87.99
Feb-15-2012,87.01
Feb-16-2012,87.65
Feb-17-2012,87.56
Feb-21-2012,87.60
Feb-22-2012,87.76
Feb-23-2012,87.90
Feb-24-2012,88.20
Feb-27-2012,88.07
Feb-28-2012,87.77
Feb-29-2012,87.60
Mar-01-2012,87.49
Mar-02-2012,87.52
Mar-05-2012,87.06
Mar-06-2012,84.95
Mar-07-2012,85.47
Mar-08-2012,86.71
Mar-09-2012,86.80
Mar-12-2012,87.54
Mar-13-2012,88.75
Mar-14-2012,88.87
Mar-15-2012,90.00
Mar-16-2012,89.56
Mar-19-2012,89.74
Mar-20-2012,89.35
Mar-21-2012,88.91
Mar-22-2012,88.57
Mar-23-2012,88.46
Mar-26-2012,89.12
Mar-27-2012,89.14
Mar-28-2012,88.45
Mar-29-2012,88.77
Mar-30-2012,89.21
Apr-02-2012,89.23
Apr-03-2012,88.79
Apr-04-2012,87.84
Apr-05-2012,87.27
Apr-09-2012,86.33
Apr-10-2012,84.58
Apr-11-2012,85.35
Apr-12-2012,86.86
Apr-13-2012,85.69
Apr-16-2012,86.40
Apr-17-2012,87.45
Apr-18-2012,87.13
Apr-19-2012,86.80
Apr-20-2012,87.48
Apr-23-2012,87.13
Apr-24-2012,88.49
Apr-25-2012,88.80
Apr-26-2012,89.32
Apr-27-2012,89.36
Apr-30-2012,89.36
May-01-2012,89.60
May-02-2012,89.52
May-03-2012,89.39
May-04-2012,88.67
May-07-2012,88.01
May-08-2012,87.56
May-09-2012,87.27
May-10-2012,87.13
May-11-2012,86.73
May-14-2012,85.83
May-15-2012,85.78
May-16-2012,85.35
May-17-2012,84.34
May-18-2012,83.51
May-21-2012,84.46
May-22-2012,84.13
May-23-2012,84.80
May-24-2012,84.98
May-25-2012,84.78
May-29-2012,85.73
May-30-2012,84.45
May-31-2012,84.41
Jun-01-2012,82.85
Jun-04-2012,82.62
Jun-05-2012,82.51
Jun-06-2012,84.63
Jun-07-2012,85.50
Jun-08-2012,86.00
Jun-11-2012,85.18
Jun-12-2012,86.73
Jun-13-2012,86.13
Jun-14-2012,86.86
Jun-15-2012,87.44
Jun-18-2012,87.31
Jun-19-2012,87.82
Jun-20-2012,87.54
Jun-21-2012,86.73
Jun-22-2012,86.83
Jun-25-2012,85.85
Jun-26-2012,86.18
Jun-27-2012,87.16
Jun-28-2012,87.16
Jun-29-2012,89.60
Jul-02-2012,89.28
Jul-03-2012,89.70
Jul-05-2012,89.57
Jul-06-2012,88.99
Jul-09-2012,88.96
Jul-10-2012,88.25
Jul-11-2012,87.85
Jul-12-2012,86.41
Jul-13-2012,87.59
Jul-16-2012,88.10
Jul-17-2012,88.98
Jul-18-2012,90.87
Jul-19-2012,90.83
Jul-20-2012,89.99
Jul-23-2012,89.36
Jul-24-2012,88.24
Jul-25-2012,88.75
Jul-26-2012,90.59
Jul-27-2012,91.71
Jul-30-2012,91.28
Jul-31-2012,91.23
Aug-01-2012,91.20
Aug-02-2012,90.08
Aug-03-2012,91.70
Aug-06-2012,91.41
Aug-07-2012,91.70
Aug-08-2012,91.63
Aug-09-2012,91.59
Aug-10-2012,92.29
Aug-13-2012,92.40
Aug-14-2012,92.30
Aug-15-2012,92.54
Aug-16-2012,93.74
Aug-17-2012,94.24
Aug-20-2012,93.89
Aug-21-2012,93.21
Aug-22-2012,92.68
Aug-23-2012,91.98
Aug-24-2012,92.83
Aug-27-2012,92.59
Aug-28-2012,92.30
Aug-29-2012,92.43
Aug-30-2012,91.76
Aug-31-2012,92.60
Sep-04-2012,91.68
Sep-05-2012,91.75
Sep-06-2012,93.28
Sep-07-2012,92.82
Sep-10-2012,90.67
Sep-11-2012,91.17
Sep-12-2012,90.81
Sep-13-2012,92.06
Sep-14-2012,93.98
Sep-17-2012,93.78
Sep-18-2012,93.43
Sep-19-2012,93.63
Sep-20-2012,93.58
Sep-21-2012,93.21
Sep-24-2012,93.73
Sep-25-2012,92.83
Sep-26-2012,92.59
Sep-27-2012,92.82
Sep-28-2012,92.42
Oct-01-2012,93.29
Oct-02-2012,93.54
Oct-03-2012,93.78
Oct-04-2012,94.43
Oct-05-2012,94.96
Oct-08-2012,95.37
Oct-09-2012,93.94
Oct-10-2012,93.28
Oct-11-2012,92.83
Oct-12-2012,92.75
Oct-15-2012,92.79
Oct-16-2012,94.23
Oct-17-2012,94.81
Oct-18-2012,94.74
Oct-19-2012,92.94
Oct-22-2012,92.53
Oct-23-2012,88.73
Oct-24-2012,88.39
Oct-25-2012,87.81
Oct-26-2012,88.03
Oct-31-2012,87.60
Nov-01-2012,89.25
Nov-02-2012,88.97
Nov-05-2012,89.60
Nov-06-2012,90.86
Nov-07-2012,89.38
Nov-08-2012,88.55
Nov-09-2012,88.81
Nov-12-2012,89.18
Nov-13-2012,89.08
Nov-14-2012,87.31
Nov-15-2012,88.02
Nov-16-2012,88.50
Nov-19-2012,89.57
Nov-20-2012,89.02
Nov-21-2012,88.94
Nov-23-2012,90.28
Nov-26-2012,90.09
Nov-27-2012,90.31
Nov-28-2012,90.93
Nov-29-2012,90.65
Nov-30-2012,90.95
Dec-03-2012,90.30
Dec-04-2012,90.12
Dec-05-2012,90.76
Dec-06-2012,90.95
Dec-07-2012,91.51
Dec-10-2012,91.87
Dec-11-2012,93.68
Dec-12-2012,93.12
Dec-13-2012,92.50
Dec-14-2012,92.28
Dec-17-2012,93.03
Dec-18-2012,93.85
Dec-19-2012,93.02
Dec-20-2012,94.13
Dec-21-2012,93.10
Dec-24-2012,93.19
Dec-26-2012,93.07
Dec-27-2012,92.64
Dec-28-2012,91.78
Dec-31-2012,92.85
Jan-02-2013,94.78
Jan-03-2013,94.67
Jan-04-2013,95.37
Jan-07-2013,95.49
Jan-08-2013,95.50
Jan-09-2013,96.41
Jan-10-2013,96.89
Jan-11-2013,96.28
Jan-14-2013,97.08
Jan-15-2013,97.29
Jan-16-2013,97.60
Jan-17-2013,98.08
Jan-18-2013,98.74
Jan-22-2013,99.33
Jan-23-2013,99.49
Jan-24-2013,99.67
Jan-25-2013,100.59
Jan-28-2013,100.65
Jan-29-2013,101.81
Jan-30-2013,100.80
Jan-31-2013,100.55
Feb-01-2013,101.56
Feb-04-2013,100.77
Feb-05-2013,101.49
Feb-06-2013,102.69
Feb-07-2013,102.22
Feb-08-2013,102.66
Feb-11-2013,102.62
Feb-12-2013,103.46
Feb-13-2013,102.86
Feb-14-2013,102.78
Feb-15-2013,103.23
Feb-19-2013,104.18
Feb-20-2013,103.15
Feb-21-2013,102.72
Feb-22-2013,103.54
Feb-25-2013,101.75
Feb-26-2013,102.31
Feb-27-2013,103.57
Feb-28-2013,104.00
Mar-01-2013,103.77
Mar-04-2013,103.28
Mar-05-2013,104.45
Mar-06-2013,104.66
Mar-07-2013,104.54
Mar-08-2013,105.71
Mar-11-2013,105.81
Mar-12-2013,105.13
Mar-13-2013,105.09
Mar-14-2013,106.02
Mar-15-2013,106.40
Mar-18-2013,105.41
Mar-19-2013,105.18
Mar-20-2013,105.66
Mar-21-2013,104.94
Mar-22-2013,106.42
Mar-25-2013,105.17
Mar-26-2013,106.07
Mar-27-2013,105.29
Mar-28-2013,106.31
Apr-01-2013,105.65
Apr-02-2013,106.52
Apr-03-2013,105.68
Apr-04-2013,105.82
Apr-05-2013,105.78
Apr-08-2013,105.75
Apr-09-2013,105.95
Apr-10-2013,107.69
Apr-11-2013,108.25
Apr-12-2013,107.68
Apr-15-2013,105.76
Apr-16-2013,106.15
Apr-17-2013,105.48
Apr-18-2013,104.98
Apr-19-2013,105.71
Apr-22-2013,105.80
Apr-23-2013,107.39
Apr-24-2013,107.87
Apr-25-2013,104.88
Apr-26-2013,103.79
Apr-29-2013,103.83
Apr-30-2013,104.71
May-01-2013,104.55
May-02-2013,106.04
May-03-2013,107.83
May-06-2013,107.84
May-07-2013,108.01
May-08-2013,108.20
May-09-2013,109.92
May-10-2013,110.48
May-13-2013,110.50
May-14-2013,110.59
May-15-2013,111.50
May-16-2013,111.07
May-17-2013,111.39
May-20-2013,111.72
May-21-2013,112.01
May-22-2013,110.79
May-23-2013,110.41
May-24-2013,110.27
May-28-2013,111.59
May-29-2013,111.13
May-30-2013,111.42
May-31-2013,110.27
Jun-03-2013,110.61
Jun-04-2013,110.02
Jun-05-2013,108.59
Jun-06-2013,108.67
Jun-07-2013,111.11
Jun-10-2013,110.81
Jun-11-2013,110.22
Jun-12-2013,109.03
Jun-13-2013,111.20
Jun-14-2013,111.03
Jun-17-2013,111.91
Jun-18-2013,112.97
Jun-19-2013,111.57
Jun-20-2013,108.78
Jun-21-2013,109.59
Jun-24-2013,107.50
Jun-25-2013,108.24
Jun-26-2013,109.68
Jun-27-2013,110.24
Jun-28-2013,109.35
Jul-01-2013,109.31
Jul-02-2013,108.73
Jul-03-2013,109.45
Jul-05-2013,111.54
Jul-08-2013,112.13
Jul-09-2013,113.35
Jul-10-2013,113.43
Jul-11-2013,114.53
Jul-12-2013,115.14
Jul-15-2013,114.85
Jul-16-2013,114.34
Jul-17-2013,114.64
Jul-18-2013,115.48
Jul-19-2013,116.19
Jul-22-2013,116.28
Jul-23-2013,116.75
Jul-24-2013,116.33
Jul-25-2013,116.55
Jul-26-2013,116.91
Jul-29-2013,116.61
Jul-30-2013,116.84
Jul-31-2013,117.43
Aug-01-2013,118.41
Aug-02-2013,118.26
Aug-05-2013,117.92
Aug-06-2013,117.50
Aug-07-2013,117.83
Aug-08-2013,118.68
Aug-09-2013,118.31
Aug-12-2013,118.38
Aug-13-2013,118.67
Aug-14-2013,117.62
Aug-15-2013,115.85
Aug-16-2013,115.90
Aug-19-2013,115.61
Aug-20-2013,115.42
Aug-21-2013,113.42
Aug-22-2013,114.67
Aug-23-2013,114.40
Aug-26-2013,114.33
Aug-27-2013,112.73
Aug-28-2013,113.00
Aug-29-2013,113.32
Aug-30-2013,113.58
Sep-03-2013,113.22
Sep-04-2013,114.55
Sep-05-2013,114.87
Sep-06-2013,115.04
Sep-09-2013,116.74
Sep-10-2013,117.59
Sep-11-2013,118.71
Sep-12-2013,118.20
Sep-13-2013,118.60
Sep-16-2013,119.23
Sep-17-2013,119.93
Sep-18-2013,121.29
Sep-19-2013,121.57
Sep-20-2013,120.01
Sep-23-2013,121.11
Sep-24-2013,120.80
Sep-25-2013,120.20
Sep-26-2013,120.66
Sep-27-2013,120.22
Sep-30-2013,119.41
Oct-01-2013,119.62
Oct-02-2013,119.20
Oct-03-2013,118.55
Oct-04-2013,119.40
Oct-07-2013,118.69
Oct-08-2013,117.16
Oct-09-2013,117.57
Oct-10-2013,119.34
Oct-11-2013,120.72
Oct-14-2013,121.40
Oct-15-2013,119.82
Oct-16-2013,120.94
Oct-17-2013,122.62
Oct-18-2013,122.84
Oct-21-2013,123.25
Oct-22-2013,123.80
Oct-23-2013,123.20
Oct-24-2013,123.49
Oct-25-2013,124.42
Oct-28-2013,124.92
Oct-29-2013,125.28
Oct-30-2013,124.79
Oct-31-2013,125.85
Nov-01-2013,125.90
Nov-04-2013,126.32
Nov-05-2013,126.12
Nov-06-2013,127.13
Nov-07-2013,126.41
Nov-08-2013,127.99
Nov-11-2013,127.95
Nov-12-2013,128.36
Nov-13-2013,128.59
Nov-14-2013,129.79
Nov-15-2013,129.85
Nov-18-2013,130.13
Nov-19-2013,130.05
Nov-20-2013,129.18
Nov-21-2013,130.35
Nov-22-2013,131.02
Nov-25-2013,131.23
Nov-26-2013,132.15
Nov-27-2013,133.50
Nov-29-2013,133.51
Dec-02-2013,127.68
Dec-03-2013,126.60
Dec-04-2013,126.46
Dec-05-2013,126.83
Dec-06-2013,128.61
Dec-09-2013,128.57
Dec-10-2013,127.55
Dec-11-2013,126.77
Dec-12-2013,126.58
Dec-13-2013,126.43
Dec-16-2013,127.66
Dec-17-2013,131.39
Dec-18-2013,135.80
Dec-19-2013,136.41
Dec-20-2013,136.72
Dec-23-2013,136.80
Dec-24-2013,136.99
Dec-26-2013,138.29
Dec-27-2013,139.35
Dec-30-2013,139.42
Dec-31-2013,140.25
Jan-02-2014,138.13
Jan-03-2014,138.45
Jan-06-2014,137.63
Jan-07-2014,137.65
Jan-08-2014,136.63
Jan-09-2014,136.45
Jan-10-2014,136.18
Jan-13-2014,134.68
Jan-14-2014,137.41
Jan-15-2014,138.44
Jan-16-2014,138.16
Jan-17-2014,137.31
Jan-21-2014,136.99
Jan-22-2014,136.48
Jan-23-2014,134.71
Jan-24-2014,130.22
Jan-27-2014,128.96
Jan-28-2014,129.81
Jan-29-2014,130.25
Jan-30-2014,128.05
Jan-31-2014,128.19
Feb-03-2014,123.90
Feb-04-2014,126.72
Feb-05-2014,127.36
Feb-06-2014,128.90
Feb-07-2014,130.33
Feb-10-2014,129.70
Feb-11-2014,130.98
Feb-12-2014,130.44
Feb-13-2014,130.14
Feb-14-2014,132.12
Feb-18-2014,131.80
Feb-19-2014,130.56
Feb-20-2014,131.56
Feb-21-2014,131.57
Feb-24-2014,132.20
Feb-25-2014,132.93
Feb-26-2014,132.86
Feb-27-2014,134.34
Feb-28-2014,134.73
Mar-03-2014,132.21
Mar-04-2014,132.68
Mar-05-2014,133.85
Mar-06-2014,134.08
Mar-07-2014,134.11
Mar-10-2014,133.56
Mar-11-2014,132.51
Mar-12-2014,132.57
Mar-13-2014,130.81
Mar-14-2014,129.83
Mar-17-2014,132.27
Mar-18-2014,132.74
Mar-19-2014,131.23
Mar-20-2014,132.43
Mar-21-2014,133.12
Mar-24-2014,132.42
Mar-25-2014,134.06
Mar-26-2014,133.09
Mar-27-2014,132.84
Mar-28-2014,134.20
Mar-31-2014,135.66
Apr-01-2014,136.53
Apr-02-2014,136.00
Apr-03-2014,136.14
Apr-04-2014,135.86
Apr-07-2014,134.40
Apr-08-2014,134.84
Apr-09-2014,135.84
Apr-10-2014,133.97
Apr-11-2014,132.39
Apr-14-2014,133.15
Apr-15-2014,134.09
Apr-16-2014,136.77
Apr-17-2014,137.73
Apr-21-2014,138.62
Apr-22-2014,138.89
Apr-23-2014,137.99
Apr-24-2014,136.65
Apr-25-2014,136.56
Apr-28-2014,137.23
Apr-29-2014,137.55
Apr-30-2014,139.09
May-01-2014,140.81
May-02-2014,140.12
May-05-2014,140.61
May-06-2014,139.29
May-07-2014,141.14
May-08-2014,140.83
May-09-2014,141.34
May-12-2014,142.82
May-13-2014,142.43
May-14-2014,141.60
May-15-2014,140.98
May-16-2014,141.13
May-19-2014,141.67
May-20-2014,140.23
May-21-2014,140.66
May-22-2014,140.31
May-23-2014,141.14
May-27-2014,141.44
May-28-2014,141.43
May-29-2014,142.39
May-30-2014,142.55
Jun-02-2014,142.32
Jun-03-2014,142.89
Jun-04-2014,142.26
Jun-05-2014,143.71
Jun-06-2014,144.64
Jun-09-2014,145.32
Jun-10-2014,144.97
Jun-11-2014,144.41
Jun-12-2014,143.07
Jun-13-2014,143.36
Jun-16-2014,143.32
Jun-17-2014,143.69
Jun-18-2014,144.33
Jun-19-2014,144.49
Jun-20-2014,145.16
Jun-23-2014,144.09
Jun-24-2014,143.09
Jun-25-2014,143.65
Jun-26-2014,143.73
Jun-27-2014,143.69
Jun-30-2014,143.24
Jul-01-2014,144.56
Jul-02-2014,145.23
Jul-03-2014,145.41
Jul-07-2014,144.91
Jul-08-2014,144.56
Jul-09-2014,144.68
Jul-10-2014,143.89
Jul-11-2014,144.31
Jul-14-2014,145.00
Jul-15-2014,145.06
Jul-16-2014,146.17
Jul-17-2014,143.54
Jul-18-2014,144.83
Jul-21-2014,144.30
Jul-22-2014,145.12
Jul-23-2014,144.68
Jul-24-2014,145.13
Jul-25-2014,145.12
Jul-28-2014,145.53
Jul-29-2014,144.02
Jul-30-2014,143.74
Jul-31-2014,140.89
Aug-01-2014,140.11
Aug-04-2014,140.75
Aug-05-2014,139.78
Aug-06-2014,139.55
Aug-07-2014,139.13
Aug-08-2014,140.85
Aug-11-2014,140.58
Aug-12-2014,140.88
Aug-13-2014,141.80
Aug-14-2014,142.34
Aug-15-2014,141.92
Aug-18-2014,144.12
Aug-19-2014,144.25
